show_id,type,title,director,country,release_year,rating,duration,Genre
s112,TV Show,Sharkdog,,"United States, Singapore",2021,TV-Y,1 Season,Kids' TV
s113,Movie,Worth,Sara Colangelo,,2021,PG-13,119 min,Dramas
s114,Movie,Afterlife of the Party,Stephen Herek,,2021,TV-PG,110 min,"Comedies, Romantic Movies"
s115,Movie,Anjaam,Rahul Rawail,India,1994,TV-14,143 min,"Dramas, International Movies, Thrillers"
s116,Movie,Bright Star,Jane Campion,"United Kingdom, Australia, France",2009,PG,119 min,"Dramas, Romantic Movies"
s117,Movie,Dhanak,Nagesh Kukunoor,India,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies"
s118,Movie,Final Account,Luke Holland,"United Kingdom, United States",2021,PG-13,94 min,Documentaries
s119,Movie,Gurgaon,Shanker Raman,India,2017,TV-14,106 min,"Dramas, International Movies, Thrillers"
s120,Movie,Here and There,JP Habac,,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies"
s121,TV Show,Heroes of Goo Jit Zu,,Australia,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s122,TV Show,Hotel Del Luna,,,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s123,Movie,In the Cut,Jane Campion,"United Kingdom, Australia, France, United States",2003,R,118 min,Thrillers
s124,TV Show,Luv Kushh,,,2012,TV-Y7,1 Season,Kids' TV
s125,TV Show,Pororo - The Little Penguin,,South Korea,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows"
s126,TV Show,Q-Force,,United States,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies"
s127,Movie,Shikara,Vidhu Vinod Chopra,India,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies"
s128,Movie,A Cinderella Story,Mark Rosman,"United States, Canada",2004,PG,95 min,"Children & Family Movies, Comedies"
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,,2017,PG-13,115 min,"Dramas, International Movies, Thrillers"
s130,Movie,An Unfinished Life,Lasse Hallström,"Germany, United States",2005,PG-13,108 min,Dramas
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals"
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies"
s133,TV Show,Brave Animated Series,,,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies"
s134,Movie,Chappie,Neill Blomkamp,"South Africa, United States",2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy"
s135,Movie,Clear and Present Danger,Phillip Noyce,"United States, Mexico",1994,PG-13,142 min,"Action & Adventure, Dramas"
s136,Movie,Cliffhanger,Renny Harlin,"United States, Italy, France, Japan",1993,R,113 min,Action & Adventure
s137,Movie,Cold Mountain,Anthony Minghella,"United States, Italy, Romania, United Kingdom",2003,R,154 min,"Dramas, Romantic Movies"
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Australia, United States",2001,PG,95 min,"Action & Adventure, Comedies"
s139,Movie,Dear John,Lasse Hallström,United States,2010,PG-13,108 min,"Dramas, Romantic Movies"
s140,Movie,Do the Right Thing,Spike Lee,United States,1989,R,120 min,"Classic Movies, Comedies, Dramas"
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"Argentina, Venezuela",2014,TV-MA,100 min,"Dramas, International Movies, Thrillers"
s142,Movie,Extraction,Steven C. Miller,"United States, United Kingdom, Canada",2015,R,82 min,Action & Adventure
s143,Movie,Freedom Writers,Richard LaGravenese,"Germany, United States",2007,PG-13,124 min,Dramas
s144,Movie,Green Lantern,Martin Campbell,United States,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
s145,Movie,House Party,Reginald Hudlin,United States,1990,R,104 min,"Comedies, Cult Movies"
s146,Movie,House Party 2,"George Jackson, Doug McHenry",United States,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals"
s147,Movie,House Party 3,Eric Meza,United States,1994,R,94 min,"Comedies, Music & Musicals"
s148,TV Show,How to Be a Cowboy,,,2021,TV-PG,1 Season,Reality TV
s149,TV Show,HQ Barbers,Gerhard Mostert,,2020,TV-14,1 Season,TV Shows
s150,Movie,I Got the Hook Up,Michael Martin,United States,1998,R,93 min,"Action & Adventure, Comedies"
